name,kind,Empty,Action,Strict,Seq,Par,LoopS,LoopOther,CoReg,Alt,Sync,And,depth,loop_depth,num_lifelines,num_symbols,operatmedtime,operatnumstates,operatnumedges,compomedtime,componumstates,componumedges,
par0act1,Par0Strict,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,285,2,1,1030,2,1,
par0act2,Par0Strict,0,2,1,0,0,0,0,0,0,0,0,1,0,1,3,73,3,2,141,3,2,
par0act3,Par0Strict,0,3,2,0,0,0,0,0,0,0,0,2,0,1,5,73,4,3,969,4,3,
par0act4,Par0Strict,0,4,3,0,0,0,0,0,0,0,0,3,0,1,7,65,5,4,169,5,4,
par0act5,Par0Strict,0,5,4,0,0,0,0,0,0,0,0,4,0,1,9,72,6,5,150,6,5,
par0act6,Par0Strict,0,6,5,0,0,0,0,0,0,0,0,5,0,1,11,71,7,6,294,7,6,
par0act7,Par0Strict,0,7,6,0,0,0,0,0,0,0,0,6,0,1,13,159,8,7,179,8,7,
par0act8,Par0Strict,0,8,7,0,0,0,0,0,0,0,0,7,0,1,15,97,9,8,230,9,8,
par0act9,Par0Strict,0,9,8,0,0,0,0,0,0,0,0,8,0,1,17,117,10,9,222,10,9,
par0act10,Par0Strict,0,10,9,0,0,0,0,0,0,0,0,9,0,1,19,162,11,10,236,11,10,
par0act11,Par0Strict,0,11,10,0,0,0,0,0,0,0,0,10,0,1,21,146,12,11,247,12,11,
par0act12,Par0Strict,0,12,11,0,0,0,0,0,0,0,0,11,0,1,23,170,13,12,361,13,12,
par0act13,Par0Strict,0,13,12,0,0,0,0,0,0,0,0,12,0,1,25,200,14,13,299,14,13,
par0act14,Par0Strict,0,14,13,0,0,0,0,0,0,0,0,13,0,1,27,213,15,14,342,15,14,
par0act15,Par0Strict,0,15,14,0,0,0,0,0,0,0,0,14,0,1,29,206,16,15,361,16,15,
par0act16,Par0Strict,0,16,15,0,0,0,0,0,0,0,0,15,0,1,31,546,17,16,426,17,16,
par0act17,Par0Strict,0,17,16,0,0,0,0,0,0,0,0,16,0,1,33,303,18,17,458,18,17,
par0act18,Par0Strict,0,18,17,0,0,0,0,0,0,0,0,17,0,1,35,303,19,18,700,19,18,
par0act19,Par0Strict,0,19,18,0,0,0,0,0,0,0,0,18,0,1,37,337,20,19,441,20,19,
par0act20,Par0Strict,0,20,19,0,0,0,0,0,0,0,0,19,0,1,39,539,21,20,526,21,20,
par0act21,Par0Strict,0,21,20,0,0,0,0,0,0,0,0,20,0,1,41,514,22,21,1288,22,21,
par0act22,Par0Strict,0,22,21,0,0,0,0,0,0,0,0,21,0,1,43,533,23,22,603,23,22,
par0act23,Par0Strict,0,23,22,0,0,0,0,0,0,0,0,22,0,1,45,435,24,23,570,24,23,
par0act24,Par0Strict,0,24,23,0,0,0,0,0,0,0,0,23,0,1,47,422,25,24,622,25,24,
par0act25,Par0Strict,0,25,24,0,0,0,0,0,0,0,0,24,0,1,49,507,26,25,744,26,25,
par0act26,Par0Strict,0,26,25,0,0,0,0,0,0,0,0,25,0,1,51,507,27,26,631,27,26,
par0act27,Par0Strict,0,27,26,0,0,0,0,0,0,0,0,26,0,1,53,532,28,27,734,28,27,
par0act28,Par0Strict,0,28,27,0,0,0,0,0,0,0,0,27,0,1,55,1798,29,28,876,29,28,
par0act29,Par0Strict,0,29,28,0,0,0,0,0,0,0,0,28,0,1,57,860,30,29,815,30,29,
par0act30,Par0Strict,0,30,29,0,0,0,0,0,0,0,0,29,0,1,59,1117,31,30,984,31,30,
par0act31,Par0Strict,0,31,30,0,0,0,0,0,0,0,0,30,0,1,61,681,32,31,894,32,31,
par0act32,Par0Strict,0,32,31,0,0,0,0,0,0,0,0,31,0,1,63,1290,33,32,2040,33,32,
par0act33,Par0Strict,0,33,32,0,0,0,0,0,0,0,0,32,0,1,65,1728,34,33,969,34,33,
par0act34,Par0Strict,0,34,33,0,0,0,0,0,0,0,0,33,0,1,67,784,35,34,1226,35,34,
par0act35,Par0Strict,0,35,34,0,0,0,0,0,0,0,0,34,0,1,69,1129,36,35,1355,36,35,
par0act36,Par0Strict,0,36,35,0,0,0,0,0,0,0,0,35,0,1,71,846,37,36,1090,37,36,
par0act37,Par0Strict,0,37,36,0,0,0,0,0,0,0,0,36,0,1,73,1145,38,37,1178,38,37,
par0act38,Par0Strict,0,38,37,0,0,0,0,0,0,0,0,37,0,1,75,1237,39,38,1535,39,38,
par0act39,Par0Strict,0,39,38,0,0,0,0,0,0,0,0,38,0,1,77,1026,40,39,1289,40,39,
par0act40,Par0Strict,0,40,39,0,0,0,0,0,0,0,0,39,0,1,79,1038,41,40,1365,41,40,
par0act41,Par0Strict,0,41,40,0,0,0,0,0,0,0,0,40,0,1,81,1483,42,41,1467,42,41,
par0act42,Par0Strict,0,42,41,0,0,0,0,0,0,0,0,41,0,1,83,1702,43,42,1417,43,42,
par0act43,Par0Strict,0,43,42,0,0,0,0,0,0,0,0,42,0,1,85,2191,44,43,1457,44,43,
par0act44,Par0Strict,0,44,43,0,0,0,0,0,0,0,0,43,0,1,87,1293,45,44,2685,45,44,
